Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_6,8.9537,15.9605,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
4,drone_7,6.0997,5.2708,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
4,drone_8,14.8695,3.1626,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
4,drone_9,8.5461,1.6358,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_0,6.1746,10.3901,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_1,18.6025,2.7027,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_2,8.9950,8.9716,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_3,3.9583,16.2340,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_4,9.2616,10.5204,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_5,4.6620,14.5945,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
5,drone_6,9.1447,16.0197,17.0000,17.0000,"9.692,5.387,0.437;8.031,13.608,0.350;15.637,12.601,0.304;16.623,7.502,0.313;18.712,13.111,0.336;1.285,11.825,1.802;12.837,4.880,0.297;1.101,6.972,1.271;13.923,17.371,0.203;16.130,10.643,0.467;2.537,8.571,0.993;10.168,0.799,0.394;18.892,5.582,0.308;14.101,7.276,0.725;15.103,6.029,0.413;13.136,8.148,0.266;3.860,7.173,0.886;8.376,12.808,1.132;18.096,5.760,0.975;10.026,18.768,0.872;1.293,13.575,0.258;12.085,7.272,0.263;2.862,6.749,1.122;6.679,12.551,0.318;15.265,9.559,1.884;9.958,13.008,0.874;12.037,12.577,0.702;16.517,4.479,0.208;18.865,9.782,0.348;8.678,4.950,0.859;17.967,12.339,0.318;1.956,9.597,1.170;10.682,18.037,0.385;13.626,17.744,0.408;12.960,10.809,1.245;2.393,18.976,1.359;10.487,10.291,0.218;0.286,2.466,0.398;19.703,13.382,0.295;0.608,5.773,0.935;10.515,5.441,0.721;6.030,19.161,0.208;11.538,11.307,0.783;6.257,7.811,0.294;12.344,8.187,0.908;11.533,2.158,0.290;10.237,14.127,0.423;13.924,9.326,0.717;16.720,9.944,0.807;11.514,16.255,1.400;2.353,3.506,0.280;0.383,0.268,0.479;10.470,14.446,0.391;1.347,5.272,0.441;0.795,18.425,0.378;7.241,17.775,0.317;3.202,0.785,1.050;17.912,11.251,0.323;10.451,4.138,0.408;18.408,13.695,0.749;16.760,12.966,0.733;3.693,19.610,0.215;2.258,2.230,1.732;0.816,8.481,0.369;4.919,17.718,0.483;14.654,14.296,0.887;6.602,17.657,0.390;4.291,12.560,0.400;16.977,11.930,1.330;1.737,2.423,1.396;11.487,14.561,0.453;12.332,14.647,0.713;19.465,11.283,0.702;19.059,4.755,1.231;11.443,6.178,1.393;8.088,4.560,0.934;12.048,16.933,1.220;17.202,13.938,0.403;9.370,18.206,0.296;8.161,5.497,0.403;14.143,17.061,0.350;8.954,17.868,0.681;5.413,15.823,0.251;11.177,1.761,0.401;18.806,15.160,0.463;0.763,1.141,0.970;10.199,12.860,1.253;16.011,6.788,0.466;0.902,9.743,1.118;18.801,14.190,0.795;9.140,3.453,0.680;15.205,9.675,2.095;19.033,5.236,1.052;19.399,18.852,0.289;0.788,19.232,1.315;12.696,8.796,0.772;2.336,4.644,0.372;3.400,9.746,0.245;4.355,0.969,1.298"
